PERNR	SUBTY	BEGDA	BETRG
612	0014	10.03.2015	0000000800.00
793	0014	10.03.2015	0000000800.00
648	0014	10.03.2015	0000000200.00
498	0014	10.03.2015	0000000800.00
1042	0014	10.03.2015	0000000400.00
1083	0014	10.03.2015	0000000100.00
185	0014	10.03.2015	0000000100.00
817	0014	10.03.2015	0000000400.00
1005	0014	10.03.2015	0000000400.00
737	0014	10.03.2015	0000000200.00
106	0014	10.03.2015	0000000300.00
305	0014	10.03.2015	0000000100.00
985	0014	10.03.2015	0000000300.00
1016	0014	10.03.2015	0000000500.00
274	0014	10.03.2015	0000000600.00
144	0014	10.03.2015	0000000600.00
895	0014	10.03.2015	0000000800.00
235	0014	10.03.2015	0000000400.00
783	0014	10.03.2015	0000000500.00
502	0014	10.03.2015	0000000500.00
795	0014	10.03.2015	0000000300.00
681	0014	10.03.2015	0000000400.00
325	0014	10.03.2015	0000000500.00
256	0014	10.03.2015	0000000100.00
644	0014	10.03.2015	0000000800.00
772	0014	10.03.2015	0000000500.00
539	0014	10.03.2015	0000000400.00
962	0014	10.03.2015	0000000200.00
141	0014	10.03.2015	0000000700.00
397	0014	10.03.2015	0000000200.00
182	0014	10.03.2015	0000000700.00
566	0014	10.03.2015	0000000800.00
784	0014	10.03.2015	0000000200.00
201	0014	10.03.2015	0000000300.00
488	0014	10.03.2015	0000000800.00
330	0014	10.03.2015	0000000400.00
440	0014	10.03.2015	0000000400.00
690	0014	10.03.2015	0000000200.00
781	0014	10.03.2015	0000000700.00
734	0014	10.03.2015	0000000200.00
167	0014	10.03.2015	0000000800.00
976	0014	10.03.2015	0000000600.00
181	0014	10.03.2015	0000000800.00
945	0014	10.03.2015	0000000400.00
1029	0014	10.03.2015	0000000700.00
140	0014	10.03.2015	0000000100.00
741	0014	10.03.2015	0000000100.00
474	0014	10.03.2015	0000000200.00
295	0014	10.03.2015	0000000500.00
839	0014	10.03.2015	0000000300.00
360	0014	10.03.2015	0000000500.00
508	0014	10.03.2015	0000000500.00
916	0014	10.03.2015	0000000200.00
906	0014	10.03.2015	0000000200.00
482	0014	10.03.2015	0000000600.00
436	0014	10.03.2015	0000000300.00
361	0014	10.03.2015	0000000500.00
242	0014	10.03.2015	0000000800.00
625	0014	10.03.2015	0000000100.00
196	0014	10.03.2015	0000000300.00
724	0014	10.03.2015	0000000400.00
309	0014	10.03.2015	0000000200.00
939	0014	10.03.2015	0000000300.00
831	0014	10.03.2015	0000000200.00
649	0014	10.03.2015	0000000200.00
1064	0014	10.03.2015	0000000500.00
255	0014	10.03.2015	0000000700.00
504	0014	10.03.2015	0000000200.00
813	0014	10.03.2015	0000000600.00
352	0014	10.03.2015	0000000200.00
1084	0014	10.03.2015	0000000500.00
926	0014	10.03.2015	0000000300.00
217	0014	10.03.2015	0000000500.00
859	0014	10.03.2015	0000000600.00
515	0014	10.03.2015	0000000700.00
428	0014	10.03.2015	0000000800.00
381	0014	10.03.2015	0000000400.00
573	0014	10.03.2015	0000000200.00
289	0014	10.03.2015	0000000400.00
1065	0014	10.03.2015	0000000600.00
751	0014	10.03.2015	0000000500.00
967	0014	10.03.2015	0000000500.00
856	0014	10.03.2015	0000000200.00
240	0014	10.03.2015	0000000100.00
624	0014	10.03.2015	0000000600.00
745	0014	10.03.2015	0000000500.00
578	0014	10.03.2015	0000000600.00
509	0014	10.03.2015	0000000400.00
559	0014	10.03.2015	0000000400.00
922	0014	10.03.2015	0000000200.00
187	0014	10.03.2015	0000000700.00
522	0014	10.03.2015	0000000800.00
1032	0014	10.03.2015	0000000700.00
735	0014	10.03.2015	0000000200.00
1079	0014	10.03.2015	0000000500.00
1020	0014	10.03.2015	0000000700.00
986	0014	10.03.2015	0000000500.00
1067	0014	10.03.2015	0000000400.00
1074	0014	10.03.2015	0000000200.00
600	0014	10.03.2015	0000000400.00
894	0014	10.03.2015	0000000600.00
598	0014	10.03.2015	0000000500.00
441	0014	10.03.2015	0000000200.00
259	0014	10.03.2015	0000000300.00
1025	0014	10.03.2015	0000000700.00
851	0014	10.03.2015	0000000200.00
121	0014	10.03.2015	0000000700.00
160	0014	10.03.2015	0000000300.00
608	0014	10.03.2015	0000000300.00
505	0014	10.03.2015	0000000800.00
