PERNR	SUBTY	BEGDA	BETRG
20014	0015	26.11.2015	0000001289.90
20023	0015	26.11.2015	0000001301.20
20049	0015	26.11.2015	0000002537.18
20052	0015	26.11.2015	0000000867.49
20079	0015	26.11.2015	0000002753.59
20108	0015	26.11.2015	0000008362.82
20123	0015	26.11.2015	0000014710.29
20129	0015	26.11.2015	0000002154.21
20145	0015	26.11.2015	0000003305.48
20189	0015	26.11.2015	0000001161.92
20204	0015	26.11.2015	0000007163.52
20208	0015	26.11.2015	0000004807.43
20219	0015	26.11.2015	0000005262.80
20243	0015	26.11.2015	0000001601.01
20257	0015	26.11.2015	0000003046.65
20275	0015	26.11.2015	0000001262.32
20290	0015	26.11.2015	0000009256.40
20294	0015	26.11.2015	0000001684.05
20295	0015	26.11.2015	0000005641.50
20307	0015	26.11.2015	0000001707.85
20338	0015	26.11.2015	0000001397.14
20354	0015	26.11.2015	0000002109.98
20371	0015	26.11.2015	0000001075.68
20391	0015	26.11.2015	0000007630.83
20400	0015	26.11.2015	0000009077.11
20402	0015	26.11.2015	0000002077.07
20405	0015	26.11.2015	0000000593.49
20446	0015	26.11.2015	0000000129.57
20450	0015	26.11.2015	0000001569.55
20481	0015	26.11.2015	0000001503.00
20499	0015	26.11.2015	0000001455.15
20507	0015	26.11.2015	0000001017.70
20529	0015	26.11.2015	0000001146.79
20557	0015	26.11.2015	0000004197.55
20577	0015	26.11.2015	0000002550.43
20601	0015	26.11.2015	0000004290.83
20602	0015	26.11.2015	0000001971.59
20609	0015	26.11.2015	0000002406.87
20616	0015	26.11.2015	0000000279.84
20637	0015	26.11.2015	0000023386.45
20639	0015	26.11.2015	0000004293.00
20651	0015	26.11.2015	0000000345.27
20656	0015	26.11.2015	0000002998.99
20669	0015	26.11.2015	0000000116.64
20672	0015	26.11.2015	0000000729.48
20674	0015	26.11.2015	0000002679.44
20676	0015	26.11.2015	0000003415.64
20677	0015	26.11.2015	0000000755.71
20689	0015	26.11.2015	0000004762.72
20698	0015	26.11.2015	0000000105.42
20723	0015	26.11.2015	0000007844.14
20724	0015	26.11.2015	0000002420.20
20739	0015	26.11.2015	0000001964.39
20759	0015	26.11.2015	0000001339.21
20761	0015	26.11.2015	0000005122.39
20876	0015	26.11.2015	0000001644.62
20973	0015	26.11.2015	0000001514.67
